seq	utc	project	commit	dirty	platform	cpu	compiler	oracle	oracle_flags	run	metric	value	unit	n	reps	kind	exec	dispersion	disp_kind	dispersion2	disp2_kind	supersedes	note
1	2026-09-02T23:56:14Z	uniblake	f3fe3fa	clean	linux-x86-intelcoreprocessorskylakeibrsnotsx-2c-vm	Intel Core Processor (Skylake, IBRS, no TSX)	cc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0			bench-compare	leaf.blake2b	183.3	ns/digest	10000		median	native						
2	2026-09-02T23:56:14Z	uniblake	f3fe3fa	clean	linux-x86-intelcoreprocessorskylakeibrsnotsx-2c-vm	Intel Core Processor (Skylake, IBRS, no TSX)	cc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0			bench-compare	leaf.blake2b 2threads	195.5	ns/digest	10000		median	native						
3	2026-09-02T23:56:14Z	uniblake	f3fe3fa	clean	linux-x86-intelcoreprocessorskylakeibrsnotsx-2c-vm	Intel Core Processor (Skylake, IBRS, no TSX)	cc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0			bench-compare	leaf.blake2b reference	253.3	ns/digest	10000		median	native						
4	2026-09-02T23:56:14Z	uniblake	f3fe3fa	clean	linux-x86-intelcoreprocessorskylakeibrsnotsx-2c-vm	Intel Core Processor (Skylake, IBRS, no TSX)	cc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0			bench-compare	leaf.blake2b	183.6	ns/digest	100000		median	native						
5	2026-09-02T23:56:14Z	uniblake	f3fe3fa	clean	linux-x86-intelcoreprocessorskylakeibrsnotsx-2c-vm	Intel Core Processor (Skylake, IBRS, no TSX)	cc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0			bench-compare	leaf.blake2b 2threads	97.4	ns/digest	100000		median	native						
6	2026-09-02T23:56:14Z	uniblake	f3fe3fa	clean	linux-x86-intelcoreprocessorskylakeibrsnotsx-2c-vm	Intel Core Processor (Skylake, IBRS, no TSX)	cc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0			bench-compare	leaf.blake2b reference	251.9	ns/digest	100000		median	native						
7	2026-09-02T23:56:14Z	uniblake	f3fe3fa	clean	linux-x86-intelcoreprocessorskylakeibrsnotsx-2c-vm	Intel Core Processor (Skylake, IBRS, no TSX)	cc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0			bench-compare	leaf.blake2b	188	ns/digest	400000		median	native						
8	2026-09-02T23:56:14Z	uniblake	f3fe3fa	clean	linux-x86-intelcoreprocessorskylakeibrsnotsx-2c-vm	Intel Core Processor (Skylake, IBRS, no TSX)	cc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0			bench-compare	leaf.blake2b 2threads	99.3	ns/digest	400000		median	native						
9	2026-09-02T23:56:14Z	uniblake	f3fe3fa	clean	linux-x86-intelcoreprocessorskylakeibrsnotsx-2c-vm	Intel Core Processor (Skylake, IBRS, no TSX)	cc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0			bench-compare	leaf.blake2b reference	263.9	ns/digest	400000		median	native						
10	2026-09-02T23:56:14Z	uniblake	f3fe3fa	clean	linux-x86-intelcoreprocessorskylakeibrsnotsx-2c-vm	Intel Core Processor (Skylake, IBRS, no TSX)	cc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0			bench-compare	bulk.blake2b	801	MB/s	1024		median	native						
